image_url,caption1_text,caption2_text,caption3_text
http://www.newyorker.com/images/2006/05/22/p323/060522_contest_p323.jpg,"Can you please identify which hand was mistakenly amputated?","When did you first encounter my client's balloon?","Your Honor may I have permission not to approach the witness?"
http://www.newyorker.com/images/2006/05/29/p323/060529_contest_p323.jpg,"Mind the whale dear.","They're very intelligent dear. Try reasoning with him.","Sure they're cute when they're little."
http://www.newyorker.com/images/2006/06/05/p323/060605_contest_p323.jpg,"Two thousand eyes but it still takes you all day to read the morning paper.","Would your mother find chilled larvae in a light honey glaze too waspy?","Well it's another thrilling night at the Samsas’."
http://www.newyorker.com/images/2006/06/12/p323/060612_contest_p323.jpg,"And best of all it's completely waterproof!","Maybe this thing isn't a compass.","Thank God for TiVo."
http://www.newyorker.com/images/2006/06/19/p323/060619_contest_p323.jpg,"Wait. Would we still be doing this if the sky weren't falling?","Quack means quack!","So this is why you crossed the road."
http://www.newyorker.com/images/2006/06/26/p323/060626_contest_p323.jpg,"Damn it I'm a brain surgeon not a rocket scientist!","It's the worst case of projectile dysfunction I've ever seen.","We thought it would look better with big breasts."
http://www.newyorker.com/images/2006/07/03/p323/060703_contest_p323.jpg,"There may be some lingering resentment.","It's painful but I couldn't stand another chorus of ‘Take Me to the River.’ ","Watch out for the moose head in the parlor."
http://www.newyorker.com/images/2006/07/10/p323/060710_contest_p323.jpg,"Sooner or later you're going to have to learn your way to the bathroom yourself.","We never get out anymore.","Try counting rats."
http://www.newyorker.com/images/2006/07/24/p323/060724_contest_p323.jpg,"The hours here are obscene.","Let me call you back in an umlaut.","Oh sorry. I forgot about the time difference."
http://www.newyorker.com/images/2006/07/31/p323/060731_contest_p323.jpg,"Aye and he replaced walking the plank with time out.","I'd mutiny but I'm having such a nice day.","No we don't get much booty but we meet a lot of nice people."
http://www.newyorker.com/images/2006/08/07/p323/060807_contest_p323.jpg,"Take three thousand Tylenol and call me in the morning.","Really God you worry too much.","I don't know why you're so jolly—your cholesterol is through the roof."
http://www.newyorker.com/images/2006/08/21/p323/060821_contest_p323.jpg,"O.K. let's wrap up and call it a day. I feel like we're losing our focus.","This new M.B.A. crop is so hard to break.","Just five more seconds and you'll break the record set by Tex and Dolly Rosenberg in Accounting." 
http://www.newyorker.com/images/2006/08/28/p323/060828_contest_p323.jpg,"We have company Henry. Use the good china.","He has his life and I have mine.","Can you tell it's a knockoff?"
http://www.newyorker.com/images/2006/09/04/p323/060904_contest_p323.jpg,"Two? Close enough—give 'em hell!","O.K. good.  Now who's the Deputy Secretary of Agriculture?","You've made me regret my purchase."
http://www.newyorker.com/images/2006/09/11/p323/060911_contest_p323.jpg,"Jenkins if I want another yes-man I'll build one.","They're programmed to be idiots Higgins. What's your excuse?","You're voting with your pacemaker again Hargrove!"
http://www.newyorker.com/images/2006/09/18/p323/060918_contest_p323.jpg,"Wait this is yesterday's.","There's something about holding a rock in your hands that newspapers can't replace.","Same old same old."
http://www.newyorker.com/images/2006/09/25/p323/060925_contest_p323.jpg,"Don't laugh.  He's made partner.","There's no good way to tell you this Carson—your job has been dogsourced.","He's a stray but I'm thinking of keeping him."
http://www.newyorker.com/images/2006/10/02/p323/061002_contest_p323.jpg,"It was a big seller until we had to recall the cherries.","By golly Detroit is back!","Would you believe a kid came up with this?"
http://www.newyorker.com/images/2006/10/09/p323/061009_contest_p323.jpg,"It's not just that he walks upright and uses complex tools.  He also makes me laugh.","The fire went out.","I want to meet different kinds of Man."
http://www.newyorker.com/images/2006/10/16/p323/061016_contest_p323.jpg,"They do say results will vary.","I thought it sounded reputable.  He's also a member for crying out loud!","That actor looks exactly like you!"
http://www.newyorker.com/images/2006/10/23/p323/061023_contest_p323.jpg,"This is the most advanced case of Surrealism I've seen.","Let's just keep an eye on it for a while.","The good news is all the pieces fit."
http://www.newyorker.com/images/2006/10/30/p323/061030_contest_p323.jpg,"And make mine a decaf.","The board just voted to remove the net.","I'll take a cab."
http://www.newyorker.com/images/2006/11/06/p323/061106_contest_p323.jpg,"Carol let's go ahead and keep the job posted for a little while longer.","No it's more of a gnawing ...","Mom tell Kevin to quit biting."
http://www.newyorker.com/images/2006/11/13/p323/061113_contest_p323.jpg,"Of course the current tenant will be gone before the first of the month.","O.K. Second word four syllables.","I thought Ferguson hated quicksand."
http://www.newyorker.com/images/2006/11/20/p323/061120_contest_p323.jpg,"Hmm. What rhymes with layoffs?","Some of you may be aware that I have been taking piano lessons.","And all because of the account that got awa-a-a-a-a-a-a-a-a-a-ay ..."
http://www.newyorker.com/images/2006/11/27/p323/061127_contest_p323.jpg,"It better work—they sold it to us.","If this doesn't work push that boulder and run like hell.","Our medicine man went to M.I.T."
http://www.newyorker.com/images/2006/12/04/p323/061204_contest_p323.jpg,"Son one day all this will be yours.  Except her.","Son we finally attracted the fifty-foot-and-over demographic!","You know I couldn't have done it without your mother."
http://www.newyorker.com/images/2006/12/11/p323/061211_contest_p323.jpg,"How about we just stay in tonight?","My mother is coming to stay next week.","Ever think about kids?"
http://www.newyorker.com/images/2006/12/18/p323/061218_contest_p323.jpg,"The elevator takes some getting used to.","Looks like another side-rise is springing up.","I think I liked them the other way."
http://www.newyorker.com/images/2006/12/25/p323/061225_contest_p323.jpg,"It looks like someone's going to have the complete set!","Look honey it's the new Tickle Me Maniac.","I thought Grampy Willis would enjoy being exhumed for the holidays."
http://www.newyorker.com/images/2007/01/08/p323/070108_contest_p323.jpg,"Actually it was more of a lateral move than a promotion.","O.K. I've backed everything up.  Now what?","Two for the price of one? Yes I may very well be interested."
http://www.newyorker.com/images/2007/01/15/p323/070115_contest_p323.jpg,"Listen Satan can I call you back?","I gotta go.  ‘Mr. Wonderful’ is having one of his episodes.","It's like paradise for the first few days.  But you wouldn't want to live here."
http://www.newyorker.com/images/2007/01/22/p323/070122_contest_p323.jpg,"You know how it is—first you buy the giant-screen television then nothing else seems to match.","It's down the hall but don't fall in.","Would anyone like 1/68th of a piece of toast?"
http://www.newyorker.com/images/2007/01/29/p323/070129_contest_p323.jpg,"So sue me.","So you're telling me I'm washing my hands for nothing?","Oh yeah like you had so-o-o much to live for."
http://www.newyorker.com/images/2007/02/05/p323/070205_contest_p323.jpg,"Oh no! My best friend and my best friend's wife!","Interested in a threesome? I'll just sit on the floor and sort tax receipts.","How long has this been going on?"
http://www.newyorker.com/images/2007/02/12/p323/070212_contest_p323.jpg,"I support our troops as much as the next guy but do we have to let them play through?","If we truly believe in golf I don't think we have much of a choice.","Tom I think you should stop shouting ‘Bombs away!’ every time you drive the ball."
http://www.newyorker.com/images/2007/02/19/p323/070219_contest_p323.jpg,"Next time just knock.","Good morning sir do you have time to answer just a few short questions for our survey?","O.K. now it's your turn to hide."
http://www.newyorker.com/images/2007/03/05/p323/070305_contest_p323.jpg,"You don't scare me. I come from a long line of salesmen.","I'd like to talk to you about a unique opportunity.","Are you sure Mr. Coyote left no forwarding address?  This is going to be quite a blow to our sales team."
http://www.newyorker.com/images/2007/03/12/p323/070312_contest_p323.jpg,"How many times do I have to tell you don't call me at work!","I keep telling him 'For God's sake put down the whip she has a learning disability.' ","Yeah I know.  But who changes careers at my age?"
http://www.newyorker.com/images/2007/03/19/p323/070319_contest_p323.jpg,"Remember back when the worst thing you could catch around here was athlete's foot?","Don't ask me.  I don't know what to do.","Oh the rhymes I could tell you."
http://www.newyorker.com/images/2007/03/26/p323/070326_contest_p323.jpg,"Yeah yeah—and I invented the ticket.","I'm going to let you off with a warning since you have no prior history.","Mind if I look in the hole?"
http://www.newyorker.com/images/2007/04/02/p323/070402_contest_p323.jpg,"If he's so damn intelligent let him get a job.","Come on George. You know he's only going to spend it on more oxygen.","Give him money and you feed him today; teach him how to earn money by somersaulting on cue and you feed him for life."
http://www.newyorker.com/images/2007/04/09/p323/070409_contest_p323.jpg,"Perkins here representing taxes.","Marketing sent me.  I'm the new fresh face of death.","Well I thought it was funny."
http://www.newyorker.com/images/2007/04/16/p323/070416_contest_p323.jpg,"So you <u>can</u> take it with you!","I guess membership does have its privileges.","Nobody brings what we really need—colorful stylish clothes."
http://www.newyorker.com/images/2007/04/23/p323/070423_contest_p323.jpg,"You know I'm gonna miss this when we go paperless.","Auditing Siegfried and Roy has not been easy.","Remember Paul when we were interns?"
http://www.newyorker.com/images/2007/04/30/p323/070430_contest_p323.jpg,"Fine. If it's a boy we'll call him Boy. But if it's a girl I want to call her McKenzie.","I guess I always assumed we'd raise Dylan in the city.","Well you'll be a monkey's uncle."
http://www.newyorker.com/images/2007/05/07/p323/070507_contest_p323.jpg,"Go fetch your mallet Wilkins—we'll play doubles.","I'm having my tech guys set them to music.","The negotiator for their union was very timid."
http://www.newyorker.com/images/2007/05/14/p323/070514_contest_p323.jpg,"When you're finished here Spencer we'll need you on the bridge-to-nowhere project.","Let me know when the paint is dry.","Comrade Zinkov I would prefer that you spy looking through windows and listening through walls."
http://www.newyorker.com/images/2007/05/21/p323/070521_contest_p323.jpg,"I’d like to get your arrow count down.","Have you tried sleeping on your side?","On the plus side it's a terrific example of Native American craftsmanship."
http://www.newyorker.com/images/2007/05/28/p323/070528_contest_p323.jpg,"Don't tell Noah about the vasectomy.","I told you it was a couples cruise.","I think we should see other people."