ip, caption_choice, latitude, longitude
117.198.53.219, caption3, 26.4667,90.5667
117.193.226.159, caption3, 13.0833,80.2833
67.174.20.127, caption1, 41.7439,-87.9343
183.82.66.130, caption3, 20,77
174.32.245.213, caption1, 38,-97
84.188.202.95, caption1, 52.5167,13.4
122.179.100.65, caption1, 12.9833,77.5833
117.201.22.103, caption3, 11.35,77.7333
71.29.225.231, caption2, 29.5897,-95.6329
117.198.53.219, caption1, 26.4667,90.5667
87.202.119.128, , 37.9833,23.7333
117.198.53.219, caption2, 26.4667,90.5667
12.139.108.65, caption2, 38.2357,-84.9592
183.82.240.128, caption2, 20,77
122.174.209.45, caption3, 13.0833,80.2833
216.222.136.214, caption3, 37.0449,-80.2169
124.125.182.99, caption1, 23.0333,72.6167
111.92.8.188, caption3, 8.5069,76.9569
98.225.82.227, caption1, 32.4388,-110.957
74.101.241.147, caption2, 40.7479,-73.0559
213.177.7.117, caption2, 46,25
74.113.181.15, caption1, 49.2667,-100.983
99.191.201.192, caption1, 40.0486,-83.0726
117.193.211.100, caption3, 13.0833,80.2833
71.63.68.127, caption1, 38.2724,-77.5932
71.29.225.231, caption1, 29.5897,-95.6329
117.202.180.73, caption3, 13.0833,80.2833
122.174.209.45, caption2, 13.0833,80.2833
117.201.2.204, caption3, 11.93,79.83
122.179.100.65, caption3, 12.9833,77.5833
24.167.192.182, caption1, 43.1486,-88.1246
120.138.109.246, caption1, 18.975,72.8258
213.177.7.117, caption2, 46,25
174.32.245.213, caption3, 38,-97
111.92.8.188, caption1, 8.5069,76.9569
188.25.187.212, caption1, 44.4333,26.1
216.222.136.214, caption1, 37.0449,-80.2169
99.191.201.192, caption1, 40.0486,-83.0726
117.193.211.100, caption3, 13.0833,80.2833
183.82.240.128, caption2, 20,77
117.201.22.103, caption1, 11.35,77.7333
98.65.207.233, caption3, 35.9724,-83.9595
84.188.202.95, caption2, 52.5167,13.4
71.63.68.127, caption2, 38.2724,-77.5932
117.197.201.191, caption1, 10.9925,76.9614
117.193.226.159, caption2, 13.0833,80.2833
203.217.145.4, caption2, 17.3753,78.4744
74.113.181.15, caption2, 49.2667,-100.983
67.174.20.127, caption1, 41.7439,-87.9343
122.178.148.186, caption1, 10.9925,76.9614
71.63.68.127, caption1, 38.2724,-77.5932
122.179.100.65, caption1, 12.9833,77.5833
117.197.201.191, caption3, 10.9925,76.9614
74.101.241.147, caption1, 40.7479,-73.0559
87.202.119.128, caption1, 37.9833,23.7333
174.32.245.213, caption1, 38,-97
122.169.215.5, caption1, 17.3753,78.4744
98.251.176.163, caption1, 35.0911,-89.651
216.222.136.214, caption1, 37.0449,-80.2169
67.174.20.127, caption2, 41.7439,-87.9343
84.188.202.95, caption2, 52.5167,13.4
117.198.53.219, caption1, 26.4667,90.5667
117.193.226.159, caption1, 13.0833,80.2833
117.206.3.34, caption1, 11.8667,75.3653
183.82.66.130, caption3, 20,77
99.191.201.192, caption1, 40.0486,-83.0726
24.167.192.182, , 43.1486,-88.1246
117.202.180.73, caption3, 13.0833,80.2833
122.174.209.45, caption3, 13.0833,80.2833
124.125.182.99, caption3, 23.0333,72.6167
98.65.207.233, caption2, 35.9724,-83.9595
213.177.7.117, caption3, 46,25
183.82.240.128, caption1, 20,77
71.91.134.94, caption1, 34.3374,-86.1496
74.113.181.15, caption1, 49.2667,-100.983
74.113.181.15, caption2, 49.2667,-100.983
213.177.7.117, caption1, 46,25
84.188.202.95, caption1, 52.5167,13.4
71.191.44.182, caption2, 38.8694,-77.6373
111.92.8.188, caption1, 8.5069,76.9569
183.82.240.128, caption2, 20,77
117.202.180.73, caption2, 13.0833,80.2833
122.174.209.45, caption2, 13.0833,80.2833
183.82.66.130, caption3, 20,77
87.202.119.128, caption1, 37.9833,23.7333
110.225.73.140, caption1, 20,77
67.174.20.127, caption3, 41.7439,-87.9343
124.125.182.99, caption3, 23.0333,72.6167
122.178.148.186, caption1, 10.9925,76.9614
122.179.100.65, caption2, 12.9833,77.5833
124.125.182.99, caption1, 23.0333,72.6167
117.198.53.219, caption2, 26.4667,90.5667
115.242.148.7, caption2, 12.9833,77.5833
92.7.140.69, caption1, 51.5002,-0.1262
218.248.84.83, caption2, 10.9925,76.9614
117.201.2.204, caption1, 11.93,79.83
74.101.241.147, caption2, 40.7479,-73.0559
99.191.201.192, caption1, 40.0486,-83.0726
98.225.82.227, caption1, 32.4388,-110.957
71.63.68.127, caption2, 38.2724,-77.5932
74.104.117.68, caption3, 42.1818,-71.1962
216.222.136.214, caption3, 37.0449,-80.2169
117.193.226.159, caption2, 13.0833,80.2833
98.225.82.227, caption2, 32.4388,-110.957
67.174.20.127, caption3, 41.7439,-87.9343
117.202.180.73, caption3, 13.0833,80.2833
74.113.181.15, caption1, 49.2667,-100.983
117.198.53.219, caption1, 26.4667,90.5667
68.124.71.145, caption3, 37.5963,-122.066
183.82.240.128, caption2, 20,77
213.177.7.117, caption2, 46,25
, caption2, 37.8668,-122.254
59.178.218.59, caption3, 28.6,77.2
71.63.68.127, caption2, 38.2724,-77.5932
99.191.201.192, caption1, 40.0486,-83.0726
122.174.209.45, caption1, 13.0833,80.2833
117.201.2.204, caption1, 11.93,79.83
120.138.109.246, caption3, 18.975,72.8258
, caption3, 37.8668,-122.254
111.92.8.188, caption2, 8.5069,76.9569
203.217.145.4, caption1, 17.3753,78.4744
117.192.164.228, caption3, 12.9833,77.5833
117.197.201.191, caption2, 10.9925,76.9614
24.167.192.182, caption3, 43.1486,-88.1246
117.206.3.34, caption1, 11.8667,75.3653
117.198.53.219, caption1, 26.4667,90.5667
218.248.84.83, caption1, 10.9925,76.9614
59.178.218.59, caption2, 28.6,77.2
194.117.13.64, caption2, 38.7167,-9.1333
122.174.209.45, caption2, 13.0833,80.2833
74.101.241.147, caption1, 40.7479,-73.0559
216.222.136.214, caption1, 37.0449,-80.2169
117.201.2.204, caption1, 11.93,79.83
71.63.68.127, caption1, 38.2724,-77.5932
183.82.240.128, caption1, 20,77
183.82.66.130, caption1, 20,77
74.113.181.15, caption1, 49.2667,-100.983
24.167.192.182, caption2, 43.1486,-88.1246
117.193.226.159, caption2, 13.0833,80.2833
98.65.207.233, caption2, 35.9724,-83.9595
68.94.15.83, caption1, 32.8098,-96.7993
213.177.7.117, caption1, 46,25
99.191.201.192, caption1, 40.0486,-83.0726
122.179.100.65, caption2, 12.9833,77.5833
68.124.71.145, caption1, 37.5963,-122.066
67.174.20.127, caption2, 41.7439,-87.9343
71.191.44.182, caption1, 38.8694,-77.6373
98.225.82.227, caption2, 32.4388,-110.957
117.197.201.191, caption1, 10.9925,76.9614
174.32.245.213, caption1, 38,-97
203.217.145.4, caption1, 17.3753,78.4744
74.82.64.33, caption2, 38,-97
117.202.180.73, caption2, 13.0833,80.2833
183.82.240.128, caption2, 20,77
74.113.181.15, caption2, 49.2667,-100.983
68.124.71.145, caption3, 37.5963,-122.066
183.82.66.130, caption1, 20,77
98.225.82.227, caption1, 32.4388,-110.957
67.174.20.127, caption3, 41.7439,-87.9343
92.7.140.69, caption2, 51.5002,-0.1262
74.101.241.147, caption3, 40.7479,-73.0559
87.202.119.128, caption1, 37.9833,23.7333
120.138.109.246, caption3, 18.975,72.8258
122.179.100.65, caption2, 12.9833,77.5833
216.222.136.214, caption3, 37.0449,-80.2169
117.201.2.204, caption2, 11.93,79.83
84.188.202.95, caption2, 52.5167,13.4
111.92.8.188, caption1, 8.5069,76.9569
117.198.53.219, caption2, 26.4667,90.5667
71.63.68.127, caption2, 38.2724,-77.5932
213.177.7.117, caption2, 46,25
117.206.3.34, caption2, 11.8667,75.3653
71.29.225.231, caption3, 29.5897,-95.6329
99.191.201.192, caption1, 40.0486,-83.0726
174.32.245.213, caption1, 38,-97
68.83.225.86, caption2, 39.9407,-75.2281
71.63.68.127, caption3, 38.2724,-77.5932
87.202.119.128, caption2, 37.9833,23.7333
117.198.53.219, caption2, 26.4667,90.5667
117.193.226.159, caption1, 13.0833,80.2833
174.32.245.213, caption3, 38,-97
98.225.82.227, caption1, 32.4388,-110.957
122.174.209.45, caption2, 13.0833,80.2833
99.191.201.192, caption2, 40.0486,-83.0726
122.178.148.186, caption1, 10.9925,76.9614
74.113.181.15, caption2, 49.2667,-100.983
122.179.100.65, caption1, 12.9833,77.5833
67.174.20.127, caption1, 41.7439,-87.9343
124.125.182.99, caption2, 23.0333,72.6167
117.202.180.73, caption3, 13.0833,80.2833
98.65.207.233, caption3, 35.9724,-83.9595
74.193.168.38, caption1, 30.1346,-93.273
74.101.241.147, caption1, 40.7479,-73.0559
213.177.7.117, caption1, 46,25
216.222.136.214, caption2, 37.0449,-80.2169
84.188.202.95, caption2, 52.5167,13.4
111.92.8.188, caption1, 8.5069,76.9569
183.82.240.128, caption2, 20,77
183.82.66.130, caption2, 20,77
71.91.134.94, caption2, 34.3374,-86.1496
183.82.240.128, caption3, 20,77
67.174.20.127, caption2, 41.7439,-87.9343
117.201.2.204, caption1, 11.93,79.83
117.192.164.228, caption2, 12.9833,77.5833
68.124.71.145, caption2, 37.5963,-122.066
117.198.53.219, caption3, 26.4667,90.5667
99.191.201.192, caption1, 40.0486,-83.0726
117.193.211.100, caption3, 13.0833,80.2833
117.198.53.219, caption3, 26.4667,90.5667
183.82.66.130, caption3, 20,77
74.101.241.147, caption1, 40.7479,-73.0559
124.125.182.99, caption2, 23.0333,72.6167
122.179.100.65, caption1, 12.9833,77.5833
84.188.202.95, caption3, 52.5167,13.4
74.113.181.15, caption1, 49.2667,-100.983
71.91.134.94, caption1, 34.3374,-86.1496
87.202.119.128, caption3, 37.9833,23.7333
111.92.8.188, caption3, 8.5069,76.9569
213.177.7.117, caption3, 46,25
117.193.226.159, caption3, 13.0833,80.2833
71.63.68.127, caption3, 38.2724,-77.5932
98.225.82.227, caption1, 32.4388,-110.957
117.202.180.73, caption3, 13.0833,80.2833
174.32.245.213, caption2, 38,-97
122.174.209.45, caption2, 13.0833,80.2833
99.191.201.192, caption1, 40.0486,-83.0726
67.174.20.127, caption2, 41.7439,-87.9343
74.101.241.147, caption3, 40.7479,-73.0559
24.167.192.182, caption3, 43.1486,-88.1246
117.197.201.191, caption1, 10.9925,76.9614
166.231.8.116, caption3, 38,-97
87.202.119.128, caption2, 37.9833,23.7333
122.174.209.45, caption1, 13.0833,80.2833
68.124.71.145, caption1, 37.5963,-122.066
71.63.68.127, caption3, 38.2724,-77.5932
111.92.8.188, caption2, 8.5069,76.9569
203.217.145.4, caption2, 17.3753,78.4744
74.113.181.15, caption2, 49.2667,-100.983
183.82.240.128, caption3, 20,77
117.198.53.219, caption3, 26.4667,90.5667
117.201.2.204, caption3, 11.93,79.83
117.202.180.73, caption2, 13.0833,80.2833
122.179.100.65, caption3, 12.9833,77.5833
218.248.84.83, caption2, 10.9925,76.9614
183.82.66.130, caption1, 20,77
124.125.182.99, caption1, 23.0333,72.6167
213.177.7.117, caption1, 46,25
74.82.64.33, caption3, 38,-97
124.125.182.99, caption3, 23.0333,72.6167
98.225.82.227, caption1, 32.4388,-110.957
183.82.240.128, caption3, 20,77
99.191.201.192, caption2, 40.0486,-83.0726
122.179.100.65, caption2, 12.9833,77.5833
216.222.136.214, caption1, 37.0449,-80.2169
117.198.53.219, caption2, 26.4667,90.5667
174.32.245.213, caption2, 38,-97
122.169.215.5, caption2, 17.3753,78.4744
111.92.8.188, caption1, 8.5069,76.9569
87.202.119.128, caption2, 37.9833,23.7333
74.101.241.147, caption3, 40.7479,-73.0559
183.82.66.130, caption1, 20,77
69.143.161.240, caption3, 38.8782,-77.1054
71.63.68.127, caption3, 38.2724,-77.5932
124.125.182.99, caption3, 23.0333,72.6167
67.174.20.127, caption1, 41.7439,-87.9343
117.206.3.34, caption3, 11.8667,75.3653
98.225.82.227, caption2, 32.4388,-110.957
124.125.182.99, caption3, 23.0333,72.6167
74.193.168.38, caption3, 30.1346,-93.273
68.124.71.145, caption1, 37.5963,-122.066
74.113.181.15, caption1, 49.2667,-100.983
213.177.7.117, caption2, 46,25
122.174.209.45, caption3, 13.0833,80.2833
117.202.180.73, caption1, 13.0833,80.2833
117.201.2.204, caption3, 11.93,79.83
98.65.207.233, caption1, 35.9724,-83.9595
68.124.71.145, caption1, 37.5963,-122.066
216.222.136.214, caption3, 37.0449,-80.2169
84.188.202.95, caption2, 52.5167,13.4
174.32.245.213, caption3, 38,-97
71.63.68.127, caption1, 38.2724,-77.5932
122.169.215.5, caption3, 17.3753,78.4744
74.113.181.15, caption1, 49.2667,-100.983
122.178.148.186, caption1, 10.9925,76.9614
74.101.241.147, caption1, 40.7479,-73.0559
117.198.53.219, caption3, 26.4667,90.5667
122.174.209.45, caption2, 13.0833,80.2833
98.225.82.227, caption3, 32.4388,-110.957
183.82.240.128, caption3, 20,77
213.177.7.117, caption2, 46,25
117.206.3.34, caption3, 11.8667,75.3653
67.174.20.127, caption3, 41.7439,-87.9343
183.82.66.130, caption2, 20,77
122.179.100.65, caption2, 12.9833,77.5833
218.248.84.83, caption3, 10.9925,76.9614
124.125.182.99, caption1, 23.0333,72.6167
117.202.180.73, caption2, 13.0833,80.2833
117.198.53.219, caption3, 26.4667,90.5667
117.201.2.204, caption1, 11.93,79.83
99.191.201.192, caption3, 40.0486,-83.0726
71.63.68.127, caption1, 38.2724,-77.5932
84.188.202.95, caption1, 52.5167,13.4
124.125.182.99, caption2, 23.0333,72.6167
183.82.240.128, caption3, 20,77
110.225.73.140, caption1, 20,77
122.179.100.65, caption3, 12.9833,77.5833
122.174.209.45, caption3, 13.0833,80.2833
67.174.20.127, caption1, 41.7439,-87.9343
98.225.82.227, caption2, 32.4388,-110.957
24.167.192.182, caption1, 43.1486,-88.1246
117.198.53.219, caption3, 26.4667,90.5667
183.82.66.130, caption2, 20,77
117.202.180.73, caption2, 13.0833,80.2833
111.92.8.188, caption1, 8.5069,76.9569
213.177.7.117, caption1, 46,25
216.222.136.214, caption1, 37.0449,-80.2169
87.202.119.128, caption2, 37.9833,23.7333
117.193.226.159, caption2, 13.0833,80.2833
74.113.181.15, caption1, 49.2667,-100.983
117.198.53.219, caption2, 26.4667,90.5667
203.217.145.4, caption3, 17.3753,78.4744
99.191.201.192, caption3, 40.0486,-83.0726
74.101.241.147, caption1, 40.7479,-73.0559
218.248.84.83, caption1, 10.9925,76.9614
98.251.176.163, caption1, 35.0911,-89.651
117.202.180.73, caption2, 13.0833,80.2833
98.225.82.227, caption2, 32.4388,-110.957
122.179.100.65, caption2, 12.9833,77.5833
117.193.226.159, caption1, 13.0833,80.2833
92.7.140.69, caption1, 51.5002,-0.1262
117.193.211.100, caption1, 13.0833,80.2833
74.113.181.15, caption2, 49.2667,-100.983
117.198.53.219, caption1, 26.4667,90.5667
216.222.136.214, caption2, 37.0449,-80.2169
71.63.68.127, caption1, 38.2724,-77.5932
84.188.202.95, caption1, 52.5167,13.4
122.178.148.186, caption1, 10.9925,76.9614
183.82.66.130, caption1, 20,77
71.191.44.182, caption1, 38.8694,-77.6373
117.201.2.204, caption3, 11.93,79.83
99.191.201.192, caption1, 40.0486,-83.0726
98.65.207.233, caption3, 35.9724,-83.9595
213.177.7.117, caption1, 46,25
71.29.225.231, , 29.5897,-95.6329
24.167.192.182, , 43.1486,-88.1246
203.217.145.4, caption2, 17.3753,78.4744
74.101.241.147, caption3, 40.7479,-73.0559
183.82.240.128, caption1, 20,77
122.174.209.45, caption1, 13.0833,80.2833
67.174.20.127, caption1, 41.7439,-87.9343
67.174.20.127, caption1, 41.7439,-87.9343
174.32.245.213, caption2, 38,-97
68.124.71.145, caption1, 37.5963,-122.066
68.83.225.86, caption2, 39.9407,-75.2281
117.193.211.100, caption2, 13.0833,80.2833
87.202.119.128, caption2, 37.9833,23.7333
152.140.53.128, caption1, 41.7511,-88.1462
74.113.181.15, caption1, 49.2667,-100.983
117.197.201.191, caption2, 10.9925,76.9614
84.188.202.95, caption1, 52.5167,13.4
98.225.82.227, caption1, 32.4388,-110.957
24.167.192.182, caption2, 43.1486,-88.1246
183.82.66.130, caption2, 20,77
117.201.2.204, caption3, 11.93,79.83
122.169.215.5, caption2, 17.3753,78.4744
117.198.53.219, caption1, 26.4667,90.5667
120.138.109.246, caption2, 18.975,72.8258
183.82.240.128, caption2, 20,77
213.177.7.117, caption1, 46,25
122.179.100.65, caption2, 12.9833,77.5833
71.29.225.231, caption1, 29.5897,-95.6329
117.202.180.73, caption2, 13.0833,80.2833
99.191.201.192, caption1, 40.0486,-83.0726
71.63.68.127, caption2, 38.2724,-77.5932
203.217.145.4, caption3, 17.3753,78.4744
117.206.3.34, caption2, 11.8667,75.3653
98.65.207.233, caption1, 35.9724,-83.9595
98.225.82.227, caption2, 32.4388,-110.957
68.124.71.145, caption3, 37.5963,-122.066
110.225.73.140, caption2, 20,77
174.32.245.213, caption2, 38,-97
183.82.240.128, caption2, 20,77
122.174.209.45, caption2, 13.0833,80.2833
117.201.2.204, caption3, 11.93,79.83
74.101.241.147, caption3, 40.7479,-73.0559
183.82.66.130, caption3, 20,77
99.191.201.192, caption3, 40.0486,-83.0726
122.179.100.65, caption2, 12.9833,77.5833
117.202.180.73, caption2, 13.0833,80.2833
117.198.53.219, caption2, 26.4667,90.5667
67.174.20.127, caption3, 41.7439,-87.9343
117.198.53.219, caption1, 26.4667,90.5667
213.177.7.117, caption3, 46,25
87.202.119.128, caption1, 37.9833,23.7333
216.222.136.214, caption2, 37.0449,-80.2169
74.113.181.15, caption3, 49.2667,-100.983
84.188.202.95, caption2, 52.5167,13.4
120.138.109.246, caption1, 18.975,72.8258
68.83.225.86, caption3, 39.9407,-75.2281
71.63.68.127, caption3, 38.2724,-77.5932
218.248.84.83, caption1, 10.9925,76.9614
117.198.53.219, caption2, 26.4667,90.5667
71.63.68.127, caption1, 38.2724,-77.5932
98.225.82.227, caption2, 32.4388,-110.957
117.193.226.159, caption3, 13.0833,80.2833
24.167.192.182, caption3, 43.1486,-88.1246
183.82.240.128, caption2, 20,77
216.222.136.214, caption2, 37.0449,-80.2169
111.92.8.188, caption2, 8.5069,76.9569
117.202.180.73, caption2, 13.0833,80.2833
74.101.241.147, caption1, 40.7479,-73.0559
67.174.20.127, caption1, 41.7439,-87.9343
183.82.66.130, caption3, 20,77
117.201.2.204, caption2, 11.93,79.83
